"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"161",2014-09-04,80990,22506112238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981167899,0.0903357487290604,0.0586132329764488,0.0959990769241804,0.355252000676528,0.243407685968548,0.0756319608646573,3.26189842668819,0.0447309419483043,0.324264089809255,0.0871901143675439,4.35956192088728
"162",2014-09-12,272675,22503599721,31033,981071725,733851260,NA,NA,NA,NA,NA,NA,NA,NA,NA,981071725,0.0903458346756291,0.0586197771181019,0.0960097951788484,0.355291664405978,0.243434862329508,0.0756404051397853,3.2610394296837,0.0447359361382768,0.324300293752101,0.0871998491054213,4.35962129243029
"163",2014-09-23,46719,22481274497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981071725,0.0904355533878343,0.0586779899945634,0.0961051385359987,0.355644489864973,0.243676607424149,0.0757155204980548,3.2642778330825,0.0447803615464213,0.324622342962534,0.0872864436694574,4.36395065204563
"164",2014-09-24,68505,22481343002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981071725,0.0904352778132129,0.0586778111913796,0.096104845685055,0.355643406147431,0.243675864894399,0.0757152897782205,3.26426788619663,0.0447802250919992,0.324621353775473,0.0872861776907824,4.36393735424401
"165",2014-09-30,1872882312,22715206654,106704380,1020589370,769526414,21701308,57075311,13538097,74631697,10502090,76329373,19664168,23412455,18324707,1020589370,0.0955364762053729,0.0595992684821823,0.103069522353992,0.328553898438154,0.251264766679767,0.0806715399033059,3.3877147838516,0.0462337418275288,0.336027640701912,0.0865682989352741,4.49297858278688
"166",2014-10-04,11909720,22727116374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020589370,0.0954864121029735,0.0595680366009288,0.103015510699739,0.328381725916532,0.251133096081184,0.0806292654925796,3.38593951531988,0.0462095139003841,0.335851551705527,0.0865229344383345,4.49062412144623
"167",2014-10-08,25036,22727141410,25036,1020614406,NA,NA,NA,NA,NA,NA,76354409,NA,NA,NA,1020614406,0.0954863069160619,0.0595679709813536,0.103015397218845,0.328381364174387,0.251132819435385,0.0806291766721576,3.38593578540153,0.0462094629964288,0.335961340771188,0.0865228391255036,4.49072933365446
"168",2014-10-09,80990,22727222400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020614406,0.0954859666441245,0.0595677587068449,0.103015030116483,0.328380193965102,0.251131924506534,0.0806288893446126,3.38592371938948,0.0462092983258702,0.335960143550142,0.0865225307954922,4.4907133306356
"169",2014-10-10,195901,22727418301,NA,NA,769722315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020614406,0.0954851435943569,0.0595672452572597,0.103014142169284,0.328377363462863,0.251129759852612,0.0806281943567419,3.38675649299829,0.0462089000207204,0.335957247711855,0.0865217850068557,4.49067462253332
"170",2014-10-14,47901,22727466202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020614406,0.0954849423473801,0.0595671197117814,0.103013925053994,0.328376671366175,0.251129230564987,0.0806280244226584,3.38674935498206,0.0462088026296386,0.335956539639605,0.0865216026512871,4.49066515787047
"171",2014-10-15,297682,22727763884,58528,1020672934,769780843,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020672934,0.0954836917118687,0.0595663395180316,0.103012575805938,0.328372370378854,0.251125941343399,0.0806269683789716,3.38696251390536,0.0462081973994517,0.335952139373255,0.0865204694151336,4.49086385800821
"172",2014-10-17,25989,22727789873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020672934,0.0954835825272239,0.0595662714045192,0.103012458012089,0.328371994888339,0.251125654183401,0.0806268761828411,3.38695864094766,0.0462081445608409,0.33595175521535,0.0865203704798437,4.49085872275039
"173",2014-10-19,33845,22727823718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020672934,0.0954834403384297,0.0595661827017696,0.103012304611716,0.328371505895187,0.251125280221165,0.0806267561178204,3.38695359727886,0.0462080757502644,0.335951254934843,0.086520241638562,4.49085203521553
"174",2014-10-23,42241,22727865959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020672934,0.0954832628771577,0.0595660719947138,0.103012113157632,0.328370895598522,0.251124813490898,0.0806266062685204,3.38694730243767,0.0462079898699916,0.335950630550795,0.0865200808358921,4.49084368871783
"175",2014-10-25,26241,22727856456,26241,1020663431,NA,NA,NA,NA,NA,NA,NA,NA,23438696,NA,1020663431,0.0954833028007399,0.059566096900555,0.10312761366377,0.328371032897375,0.251124918491521,0.0806266399802186,3.38694871859235,0.0462080091905346,0.335950771018896,0.0865201170117774,4.49080375430896
"176",2014-10-27,48313,22727904769,48313,1020711744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020711744,0.0954830998306529,0.0595659702801353,0.103127394444073,0.32837033487484,0.251124384672047,0.0806264685911312,3.38694151891182,0.0462079109655741,0.335950056884014,0.0865199330948499,4.49100677943799
"177",2014-10-29,207230,22727981201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020711744,0.0954827787302339,0.0595657699655451,0.103127047636632,0.3283692305972,0.251123540165058,0.0806261974521245,3.38693012895545,0.0462077555728439,0.335948927116503,0.0865196421366927,4.49099167661706
"178",2014-10-30,80547,22728061748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020711744,0.095482440344521,0.0595655588677346,0.103126682160051,0.328368066874719,0.251122650197052,0.080625911717318,3.38691812586147,0.0462075918151012,0.335947736531994,0.0865193355158426,4.49097576078972
"179",2014-10-31,2121274707,23240959055,110462427,1057306284,786201150,26678640,63286287,14870423,82890893,11329151,76877840,21030006,19866481,20164659,1057306284,0.114791476276279,0.0639836891619187,0.0854804698592074,0.356658659411764,0.272304971796699,0.0867634547794697,3.38282576093115,0.0487464866367581,0.330786005078653,0.0904868252219379,4.54932294961612
"180",2014-11-06,10939148,23251578558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.11473904850568,0.0639544664157163,0.0854414290644567,0.356495765623966,0.272180604177627,0.0867238280175266,3.38128075063315,0.0487242230532432,0.330634927896322,0.090445497915514,4.54724517461297
"181",2014-11-07,799972,23252378530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.114735101037425,0.0639522661340401,0.0854384895479336,0.356483500787048,0.272171240109259,0.0867208443815059,3.38116442146188,0.0487225467510054,0.330623552772517,0.0904423862396154,4.54708873174361
"182",2014-11-12,51226,23251568435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.114739098459445,0.0639544942594751,0.0854414662629618,0.356495920830985,0.272180722676483,0.0867238657743477,3.38128222273621,0.0487242442662342,0.330635071844348,0.090445537292633,4.54724715434019
"183",2014-11-14,41889,23251610324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.11473889175092,0.063954379042087,0.0854413123356626,0.356495278584818,0.272180232328583,0.0867237095367382,3.38127613117829,0.0487241564869432,0.330634476187861,0.0904453743502363,4.54723896223507
"184",2014-11-18,161497,23229175753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.114849705747973,0.0640161457217418,0.0855238309410711,0.356839579162833,0.272443102040875,0.0868074666721473,3.3845417433654,0.04877121392711,0.330953800588776,0.0905327258427756,4.55163065294493
"185",2014-11-19,152834,23229276441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.114849207928456,0.0640158682418256,0.085523460235444,0.356838032430904,0.272441921128025,0.0868070904025624,3.38452707296704,0.0487710025268109,0.330952366059537,0.0905323334259424,4.55161092376446
"186",2014-11-20,195901,23229472342,NA,NA,786217964,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057306284,0.11484823937117,0.0640153283771046,0.0855227389908485,0.356835023110401,0.272439623544851,0.0868063583327346,3.3845709124373,0.0487705912265444,0.330949575040502,0.0905315699400401,4.55157253868543
"187",2014-11-26,134676,23228314016,65538,1056921894,786141668,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056921894,0.114853966506667,0.0640185206285615,0.0855270037520402,0.356852817397352,0.272453209287628,0.0868106871041535,3.38441122958168,0.0487730232689136,0.330966078498187,0.0905360844765325,4.55014467805101
"188",2014-11-30,1937439566,23504543659,90973843,1096632544,816994636,29076650,63135295,15356329,85118286,11602507,77832519,20848481,21660436,21029137,1096632544,0.123706507226174,0.0653334488122257,0.0921542503196233,0.362135454467366,0.268608895011774,0.0894683908995946,3.47590086347909,0.0493628260489854,0.331138183872792,0.0886997905701395,4.66561937942622
"189",2014-12-03,750991,23491060217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096632544,0.123777512514986,0.0653709490254805,0.0922071451859154,0.36234331364236,0.268763071639952,0.0895197441313511,3.47789596745726,0.0493911594147782,0.331328251177332,0.0887507026392635,4.66829736022893
"190",2014-12-05,37206,23479792174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096632544,0.123836913821569,0.0654023207965384,0.0922513957512169,0.362517203598823,0.268892052076645,0.0895627050025013,3.47956502317208,0.0494148624230493,0.331487256885462,0.0887932944444298,4.67053769417235
"191",2014-12-09,10803207,23489876360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096632544,0.123783750728946,0.0653742436301185,0.0922117922974031,0.362361575239896,0.268776616923836,0.0895242558015746,3.47807124856233,0.0493936486603116,0.331344949658986,0.0887551755508687,4.66853263590358
"192",2014-12-11,221749,23490098109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096632544,0.123782582197303,0.0653736264903737,0.0922109218083726,0.362358154508464,0.268774079644266,0.0895234106831716,3.47803841520345,0.0493931823790664,0.331341821727766,0.0887543376926642,4.66848856446383
"193",2014-12-12,40484,23489667579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096632544,0.123784850944399,0.0653748246898509,0.0922126118947918,0.362364795984157,0.268779005865726,0.0895250515115857,3.47810216237543,0.049394087681227,0.331347894721095,0.0887559644251362,4.66857413078251
"194",2014-12-18,36300,23485141735,36300,1093441284,NA,NA,NA,NA,NA,NA,NA,NA,21696736,NA,1093441284,0.123808705640754,0.0653874231344936,0.0923849480868377,0.362434627648629,0.268830802523577,0.089542303969408,3.4787724307511,0.0494036064628417,0.331411749089025,0.0887730686714546,4.65588539485133
"195",2014-12-23,-606693,23484396470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093441284,0.123812634645067,0.0653894981700588,0.092387879874692,0.362446129321372,0.268839333728043,0.0895451455474427,3.47888282776892,0.0494051742603714,0.331422266266994,0.0887758858382108,4.65603314693145
"196",2014-12-24,28155,23484344020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093441284,0.123812911168553,0.065389644211148,0.0923880862140428,0.362446938809577,0.268839934154567,0.0895453455378227,3.47889059751561,0.0494052846020265,0.331423006466416,0.0887760841105239,4.65604354572898
"197",2014-12-25,79279,23484423299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093441284,0.123812493199431,0.0653894234679967,0.0923877743292248,0.362445715256821,0.268839026601468,0.089545043249563,3.47887885343469,0.0494051178190697,0.331421887644625,0.0887757844191463,4.65602782780091
"198",2014-12-31,2029952102,23943224416,102555572,1116934848,827484188,26897124,64860442,15524596,84784430,11607730,79914372,21038990,23309986,21320527,1116934848,0.112337100186164,0.0648392034851652,0.0973552500490417,0.354106149309376,0.27089267875156,0.0890461812058722,3.45602653019046,0.048480228887815,0.333766123607802,0.0878703287178846,4.66493079041439
"199",2015-01-31,2155818490,24096161866,92937414,1111913956,839296343,22257377,58940924,16066433,83045662,11776692,78291512,22582047,19742558,21530238,1111913956,0.0923689719706168,0.0666763158769694,0.0819323762422803,0.344642696466853,0.244607105180375,0.0893513171090515,3.48311215565105,0.048873725473338,0.324912790822801,0.0937163649778746,4.61448575164547
"200",2015-02-28,2082720005,24290806581,92714620,1117244527,846448503,20924720,54833611,16820682,81995190,12880179,78756104,23090553,21760008,22601717,1117244527,0.0861425491583597,0.0692471118400694,0.0895812492987385,0.337556473172594,0.225738123668937,0.0930463833081558,3.48464551877863,0.053024912767099,0.324221856270521,0.0950588154535024,4.59945421439359
"201",2015-03-04,741084,24291547665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117244527,0.0861399211304637,0.0692449992564111,0.0895785163633377,0.337546175034953,0.225731236873828,0.0930435446588084,3.48453920957695,0.0530232950885964,0.32421196494398,0.0950559154090852,4.59931389472462
"202",2015-03-05,11660397,24301089885,25000,1117269527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117269527,0.0861060968829876,0.0692178090760558,0.08954334189526,0.337413632014143,0.225642599815436,0.0930070095907552,3.48317094832226,0.0530024746254297,0.32408465781863,0.0950185901507767,4.59761077501977
"203",2015-03-07,220937,24288527827,25036,1117294563,846644404,NA,NA,NA,NA,NA,78781140,NA,NA,NA,1117294563,0.0861506310676406,0.0692536086164165,0.0895896538274781,0.337588142780935,0.225759302459843,0.0930551129363844,3.48577900657626,0.0530298875738443,0.324355352292797,0.0950677338884727,4.60009174272792
"204",2015-03-10,92612,24288582982,92612,1117387175,846674262,NA,NA,NA,82057944,NA,NA,NA,NA,NA,1117387175,0.0861504354350646,0.069253451353937,0.0895894503855005,0.337845744483374,0.225758789801104,0.0930549016249729,3.48589402118461,0.0530297671525151,0.324354615740176,0.0950675180067612,4.60046259523696
"205",2015-03-12,191755,24281707700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117387175,0.0861748286344786,0.0692730602304384,0.0896148173301666,0.337941404343649,0.225822712625768,0.0930812498002354,3.48688104008434,0.0530447823486484,0.324446455633761,0.0950944360474284,4.60176520039404
"206",2015-03-13,358914,24281997994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117387175,0.0861737984047706,0.0692722320632607,0.0896137459750092,0.337937364216389,0.225820012889999,0.0930801370034904,3.48683935403178,0.0530441481923467,0.324442576840121,0.0950932991828168,4.60171018577673
"207",2015-03-17,62285,24248116213,62285,1117256576,NA,NA,NA,NA,82089965,NA,NA,NA,21790272,NA,1117256576,0.0862942086560182,0.069369025833776,0.0898637725445975,0.33854161815667,0.226135550152974,0.0932101974498236,3.49171149858675,0.053118266536081,0.324895918957051,0.0952261726113825,4.60760153978894
"208",2015-03-18,72671,24248188884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117256576,0.0862939500352005,0.0693688179371574,0.0898635032259179,0.338540603558918,0.226134872432397,0.093209918102022,3.49170103404577,0.053118107342437,0.324894945254997,0.0952258872217716,4.60758773096334
"209",2015-03-19,1457662,24242216100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117256576,0.086315211091613,0.0693859089887413,0.0898856437469015,0.338624013008448,0.22619058741911,0.0932328831108803,3.4925613174449,0.053131194552795,0.324974992694665,0.0952493489240037,4.60872294591912
"210",2015-03-21,1256036,24243171664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117256576,0.0863118089085359,0.069383174087646,0.0898821008323658,0.338610665872155,0.226181671936207,0.093229208262228,3.49242365534734,0.0531291003442692,0.324962183545424,0.0952455945947387,4.60854128941831
"211",2015-03-27,54841,24238205944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117256576,0.0863294917468088,0.0693973887294404,0.0899005151220527,0.33868003758059,0.226228010136921,0.0932483082791649,3.49313915376475,0.0531399849879912,0.325028759067466,0.095265107711967,4.60948544863969
"212",2015-03-31,2138508005,24456024532,147049113,1175444695,879697369,29249091,63763629,17452599,82405831,13517001,79155483,20530260,22728891,23415766,1175444695,0.119598714671423,0.0713631889645996,0.0929377993150927,0.336955137136759,0.260727694791797,0.0957464119704376,3.59705792676541,0.0552706388657461,0.32366455511372,0.0839476586766453,4.8063604673849
"213",2015-04-01,16968881,24472993413,1114901,1176559596,879779079,29891110,NA,NA,NA,NA,NA,NA,NA,NA,1176559596,0.122139165796212,0.0713137077490865,0.0928733588753653,0.336721501981144,0.260546913587322,0.0956800241181841,3.59489770684392,0.0552323157690215,0.323440135271531,0.0838894517459984,4.80758351111644
"214",2015-04-03,119608,24473113021,NA,NA,879898687,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176559596,0.122138568862698,0.0713133592159861,0.0928729049732933,0.336719856314515,0.260545640210485,0.0956795564990334,3.59536886968557,0.0552320458308727,0.323438554515226,0.0838890417511794,4.80756001490457
"215",2015-04-08,156238,24473066226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176559596,0.122138802404105,0.0713134955744062,0.0928730825557649,0.336720500157241,0.260546138400337,0.0956797394481092,3.59537574439774,0.0552321514401806,0.323439172962748,0.0838892021555877,4.80756920744991
"216",2015-04-09,722837,24473789063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176559596,0.122135195016411,0.0713113893197078,0.0928703395354585,0.336710555067188,0.260538443131388,0.095676913532774,3.59526955444039,0.055230520150373,0.323429620138669,0.0838867244755251,4.80742721517833
"217",2015-04-10,12853960,24486508598,25790,1176585386,NA,NA,NA,NA,NA,NA,79181273,NA,NA,NA,1176585386,0.122071751799035,0.071274346565788,0.0928220979689054,0.336535650520347,0.260403106244424,0.0956272140892824,3.59340198901148,0.0552018306158357,0.323366937687749,0.0838431494544586,4.80503531686057
"218",2015-04-11,27966,24486536564,27966,1176613352,879926653,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176613352,0.122071612381254,0.0712742651635705,0.0928219919570656,0.336535266163989,0.260402808838817,0.0956271048737279,3.59351209469805,0.0552017675699904,0.323366568371339,0.083843053697449,4.80514403874434
"219",2015-04-14,49464,24483998879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176613352,0.122084264697617,0.0712816525039508,0.0928316126476163,0.336570146924323,0.260429798723322,0.0956370163048969,3.5938845502673,0.0552074890494852,0.323400084239973,0.0838517437509314,4.80564207593223
"220",2015-04-16,82584,24484048617,32584,1176645936,879959237,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176645936,0.122084016690139,0.0712815076991889,0.0928314240652939,0.336569463200556,0.260429269674489,0.095636822023551,3.59401033205357,0.0552073768985034,0.323399427270464,0.0838515734107195,4.80576539609965
"221",2015-04-20,309730,24473369292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176645936,0.122137289898089,0.0713126124636423,0.092871932461828,0.336716330378496,0.260542911926898,0.095678554597933,3.59557863284336,0.0552314674727624,0.323540547503949,0.0838881633135453,4.80786246454684
"222",2015-04-22,93764,24473463056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176645936,0.122136821959374,0.0713123392470656,0.0928715766460673,0.33671504033344,0.260541913721391,0.0956781880292961,3.59556485727616,0.0552312558671018,0.323539307938635,0.0838878419168665,4.80784404441499
"223",2015-04-23,681471,24474144527,64063,1176635779,879997080,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176635779,0.122133421117228,0.0713103535886462,0.0928689906808607,0.336705664662107,0.260534659054806,0.0956755239153206,3.59561936487375,0.0552297179788571,0.32353029913935,0.0838855060995121,4.80766867132753
"224",2015-04-25,106367,24473736553,34124,1176605562,880031204,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176605562,0.122135457065447,0.0713115423229505,0.0928705387948367,0.336711277501672,0.260539002133631,0.09567711881384,3.59581873447978,0.0552306386510608,0.323535692347289,0.0838869044599706,4.80762534749019
"225",2015-04-28,71384,24473694333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176605562,0.12213566776347,0.0713116653437448,0.0928706990074346,0.336711858368212,0.260539451594041,0.0956772838681183,3.59582493768984,0.0552307339304057,0.323536250484395,0.083887049174743,4.80763364120913
"226",2015-04-29,252308,24473946641,54469,1176660031,880229043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176660031,0.122134408636509,0.0713109301740591,0.0928697415803114,0.336708387121959,0.260536765628066,0.0956762975072141,3.59659623317718,0.0552301645430395,0.323532915068759,0.0838861843622992,4.80780663723765
"227",2015-04-30,2371281008,24823759854,108716880,1213674176,911613562,33083856,65935109,18667806,84129335,13406074,79793294,22423664,23130941,24537949,1213674176,0.13327495993589,0.0752013639746517,0.0931806508604811,0.33890649722203,0.265612902267001,0.0988486399494638,3.67234281737183,0.0540050100341258,0.321439195630723,0.0903314571679872,4.88916337870725
"228",2015-05-01,15630410,24839390264,411417,1214085593,911833454,NA,NA,NA,NA,NA,79891525,NA,NA,NA,1214085593,0.133191095467222,0.0751540428391894,0.0931220160968441,0.338693237256832,0.26544576295643,0.0987864385526529,3.67091721780921,0.0539710268952518,0.321632391741063,0.0902746152851379,4.88774313739733
"229",2015-05-02,25185,24839415449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214085593,0.133190960423072,0.0751539666395472,0.0931219216792447,0.338692893851441,0.265445493817587,0.0987863383918234,3.67091349581944,0.0539709721733396,0.321632065633881,0.0902745237545546,4.88773818165225
"230",2015-05-07,14353137,24853087790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214085593,0.133117688552614,0.0751126224545477,0.0930706928468947,0.338506569931526,0.26529946522995,0.0987319934140063,3.66889402920344,0.0539412813139224,0.321455127326857,0.0902248613511215,4.88504930758948
"231",2015-05-08,11059386,24853055581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214085593,0.133117861070139,0.0751127197988139,0.0930708134644154,0.338507008628413,0.265299809052079,0.0987321213684449,3.66889878400743,0.0539413512206075,0.321455543925458,0.0902249782805087,4.8850556385033
"232",2015-05-16,38965,24853083670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214085593,0.133117710620092,0.0751126349062824,0.0930707082756142,0.338506626047181,0.265299509209756,0.0987320097812233,3.66889463741141,0.053941290255995,0.321455180615823,0.0902248763080754,4.88505011740461
"233",2015-05-21,26191,24852844861,26191,1214081784,NA,NA,NA,NA,NA,NA,79917716,NA,NA,NA,1214081784,0.133118989737535,0.0751133566575882,0.0930716025846117,0.338509878730297,0.265302058451537,0.0987329584892145,3.66892989152675,0.053941808573542,0.321563653766695,0.090225743271701,4.88508173124752
"234",2015-05-27,106083,24852904436,35740,1214117524,911869194,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214117524,0.133118670637454,0.0751131766030503,0.0930713794822882,0.338509067286867,0.265301422494875,0.0987327218160314,3.66906490284949,0.0539416792694096,0.321562882945131,0.0902255269911987,4.88521382732765
"235",2015-05-28,276502,24853065863,NA,NA,912028338,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214117524,0.133117805997744,0.0751126887238153,0.0930707749599464,0.338506868584159,0.265299699294488,0.0987320805218276,3.66968141084671,0.0539413289044483,0.321560794312212,0.0902249409533945,4.88518209661818
"236",2015-05-31,2400424955,25149878163,116515963,1235563945,915468438,36709958,65606349,20318340,83879983,14466590,80710302,22282849,23160312,23784045,1235563945,0.145964754827349,0.0807890196060351,0.0920891618237459,0.33352043479639,0.260861498313414,0.0945692255280609,3.64005118460899,0.0575215112623605,0.320917268373647,0.0886002264328345,4.9128029050166
"237",2015-06-01,32766,25149910929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235563945,0.145964564660427,0.0807889143518644,0.0920890418474372,0.333520000276737,0.260861158455835,0.0945691023206566,3.64004644224957,0.0575214363217437,0.320916850273748,0.0886001110020074,4.91279650448101
"238",2015-06-04,37807,25149868203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235563945,0.145964812633177,0.0807890516005819,0.092089198293442,0.333520566879131,0.260861601621332,0.0945692629799266,3.64005262616366,0.0575215340423707,0.320917395465208,0.0886002615208218,4.91280485061395
"239",2015-06-05,11023024,25160891227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235563945,0.145900865230906,0.0807536577964953,0.0920488538782235,0.333374451020991,0.260747317764318,0.0945278320446673,3.63845791367524,0.0574963337724539,0.320776801075275,0.0885614456140107,4.91065254347638
"240",2015-06-06,31263,25160571157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235563945,0.14590272124958,0.0807546850713966,0.0920500248403801,0.333378691908842,0.260750634755553,0.094529034542139,3.63850419884171,0.0574970651887416,0.320780881707232,0.0885625722125176,4.91071501235078
"241",2015-06-11,223629,25160624885,25790,1235501109,915666277,NA,NA,NA,NA,NA,80736092,NA,NA,NA,1235501109,0.1459024096889,0.0807545126278369,0.0920498282767511,0.333377980011962,0.26075007794863,0.0945288326848326,3.63928273318002,0.0574969424095049,0.320882698140508,0.0885623830959952,4.91045478658429
"242",2015-06-12,28221,25160653106,28221,1235529330,NA,NA,NA,NA,NA,NA,NA,NA,23188533,NA,1235529330,0.145902246040052,0.0807544220509711,0.0921618882558748,0.333377606084467,0.260749785482933,0.0945287266582451,3.63927865124313,0.0574968779190799,0.320882338228124,0.08856228376157,4.91056144208501
"243",2015-06-13,150958,25144640953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235529330,0.145995156855163,0.080805846613514,0.0922205771136031,0.33358990154915,0.260915831419627,0.0945889227229643,3.64159615049406,0.0575334920353038,0.321086676683556,0.0886186803846226,4.9136884965247
"244",2015-06-18,1040559,25142109322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235529330,0.146009857525668,0.0808139831856547,0.0922298630676521,0.33362349167181,0.260942103782011,0.0945984471525161,3.64196283324076,0.0575392852474051,0.321119007820692,0.0886276036533734,4.91418326989327
"245",2015-06-20,51520,25142074655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235529330,0.146010058850491,0.0808140946155344,0.0922299902382499,0.333623951686576,0.260942463580478,0.094598577589022,3.64196785493954,0.0575393645851061,0.321119450593724,0.0886277258570172,4.91419004578562
"246",2015-06-22,41163,25142115818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235529330,0.146009819800918,0.0808139623056445,0.0922298392381067,0.33362340547309,0.260942036362073,0.0945984227109967,3.64196189226225,0.0575392703809078,0.321118924852771,0.0886275807545482,4.91418200020957
"247",2015-06-24,37248,25141880465,37248,1235480391,915436661,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235480391,0.146011186598011,0.0808147188046859,0.0922307026011071,0.33362652851989,0.260944479038991,0.0945993082462935,3.64108270371573,0.0575398090056905,0.321121930845199,0.0886284103968275,4.91403335052806
"248",2015-06-26,59975,25141940440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235480391,0.146010838294707,0.0808145260247065,0.0922304825887974,0.333625732668389,0.260943856567341,0.0945990825837785,3.64107401807209,0.0575396717469911,0.321121164822869,0.0886281989776283,4.91402162831629
