"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"36","E06000017","X2017.2019","E38000051","Rutland",54.4,88.5,"2019","Predominantly Rural",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","E06000023","X2009.2011","E38000222","Bristol, City of",107.8,175.3,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","E06000023","X2010.2012","E38000222","Bristol, City of",99.9,175.3,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","E06000023","X2011.2013","E38000222","Bristol, City of",98.6,176.4,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","E06000023","X2012.2014","E38000222","Bristol, City of",93.3,179,"2014","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","E06000023","X2013.2015","E38000222","Bristol, City of",92.8,172.8,"2015","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","E06000023","X2014.2016","E38000222","Bristol, City of",89.9,170,"2016","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","E06000023","X2015.2017","E38000222","Bristol, City of",93.1,166.5,"2017","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","E06000023","X2016.2018","E38000222","Bristol, City of",91.3,172.3,"2018","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","E06000023","X2017.2019","E38000222","Bristol, City of",90.5,167.7,"2019","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","E06000024","X2009.2011","E38000222","North Somerset",82.5,142.1,"2011","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","E06000024","X2010.2012","E38000222","North Somerset",81.5,135.9,"2012","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","E06000024","X2011.2013","E38000222","North Somerset",78.4,135.1,"2013","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","E06000024","X2012.2014","E38000222","North Somerset",78,130.6,"2014","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","E06000024","X2013.2015","E38000222","North Somerset",77.7,129,"2015","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","E06000024","X2014.2016","E38000222","North Somerset",77.6,131,"2016","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
