"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"24","E06000015","X2014.2016","E38000229","Derby",97.3,174.6,"2016","Predominantly Urban",1,9,1,6.5,32.1666666666667,16.1666666666667,254130.333333333,8.63333333333333,19,508811.666666667,1.56666666666667,14883.3333333333,2.0021324164352,27.6333333333333
"25","E06000015","X2015.2017","E38000229","Derby",93.1,167.1,"2017","Predominantly Urban",1,9,1,5.26666666666667,32.6,16.3,255704,8.26666666666667,19.6,517049,1.46666666666667,15232.3333333333,2.02208498416671,27.8666666666667
"26","E06000015","X2016.2018","E38000229","Derby",97.7,166.7,"2018","Predominantly Urban",1,9,1,4.1,33.3,17.0333333333333,256803.666666667,8.66666666666667,19.7666666666667,514135.333333333,1.76666666666667,15616,2.00205447812958,28.4333333333333
"27","E06000015","X2017.2019","E38000229","Derby",94.7,173.3,"2019","Predominantly Urban",1,9,1,4.2,33.3,17.0333333333333,257170,9.06666666666667,19.6333333333333,515011.333333333,2.4,16191,2.00261723125868,28.7
"28","E06000017","X2009.2011","E38000051","Rutland",84.7,96.4,"2011","Predominantly Rural",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","E06000017","X2010.2012","E38000051","Rutland",77.9,105,"2012","Predominantly Rural",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","E06000017","X2011.2013","E38000051","Rutland",64.7,95.5,"2013","Predominantly Rural",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","E06000017","X2012.2014","E38000051","Rutland",62.7,94.7,"2014","Predominantly Rural",1,6,1,4.8,39.3,1.3,37096,19.5,18.5,58222,1.3,19991,1.5694953633815,38
"32","E06000017","X2013.2015","E38000051","Rutland",64.2,97.4,"2015","Predominantly Rural",1,6,1,4.1,39.6,2.6,38352,17.7,18.1,55824,0.5,22171,1.45556946182728,35.8
"33","E06000017","X2014.2016","E38000051","Rutland",66.5,98.7,"2016","Predominantly Rural",1,6,1,4.1,39.6,2.6,38352,17.7,18.1,55824,0.5,22171,1.45556946182728,35.8
"34","E06000017","X2015.2017","E38000051","Rutland",65.7,96.2,"2017","Predominantly Rural",1,6,1,3.25,40.05,1.8,38913,15.7,17.4,56218.5,0.55,22123.5,1.44487699417554,33.1
"35","E06000017","X2016.2018","E38000051","Rutland",51.7,88.2,"2018","Predominantly Rural",1,6,1,3.6,42.15,1.7,39585.5,12.2,18.45,55791.5,0.8,22728.5,1.40946196374304,30.65
"36","E06000017","X2017.2019","E38000051","Rutland",54.4,88.5,"2019","Predominantly Rural",1,6,1,3.16666666666667,42.1,1.73333333333333,39699.3333333333,11.9333333333333,18.4333333333333,57154.6666666667,0.933333333333333,23388,1.43956199775204,30.3666666666667
"37","E06000023","X2009.2011","E38000222","Bristol, City of",107.8,175.3,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","E06000023","X2010.2012","E38000222","Bristol, City of",99.9,175.3,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","E06000023","X2011.2013","E38000222","Bristol, City of",98.6,176.4,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","E06000023","X2012.2014","E38000222","Bristol, City of",93.3,179,"2014","Predominantly Urban",1,3,1,7.8,43.4333333333333,13.4,438406.666666667,9.66666666666667,26.4,842972,3,16308.3333333333,1.92388182523333,36.0666666666667
"41","E06000023","X2013.2015","E38000222","Bristol, City of",92.8,172.8,"2015","Predominantly Urban",1,3,1,7.13333333333333,45.3333333333333,12.5666666666667,444272.333333333,8.83333333333333,26.7,799488.666666667,2.2,16993.3333333333,1.80016202777778,35.5333333333333
